Площа житла,Кількість спалень,Відстань до центру міста,Ціна житла
98,3,3,989.1214813197901
99,3,20,958.6486270870067
119,4,19,1171.6892506234917
145,5,20,1436.6064048511366
144,3,8,1438.4943909500541
50,5,8,508.2630162866741
163,2,2,1636.2552559148853
86,3,13,850.1948582906635
98,4,13,975.5832030604047
143,5,8,1438.4168187018556
181,2,13,1795.3750919045526
148,1,17,1450.2804182408631
92,2,17,895.6367750899525
162,5,7,1632.0274570725533
199,3,5,1993.8565220643618
177,3,14,1755.4397852391414
50,1,13,477.1279631380364
188,5,2,1905.134894147615
164,3,19,1618.5601372174006
93,3,7,933.6903691880615
177,5,3,1786.8970750152068
73,2,15,707.6186407419402
180,4,14,1792.306751636341
171,2,6,1710.843539501518
148,5,14,1477.4691139989986
112,2,12,1103.9843784887034
173,3,6,1733.7514648138615
132,5,18,1307.3555073739237
198,3,13,1970.166171903517
100,3,7,1001.0769627181512
64,3,16,621.0703480780759
91,2,10,898.0428031255894
108,4,11,1079.3130906314082
86,1,9,846.9121652368209
60,4,17,584.7204293837625
136,1,6,1354.683322073675
93,5,7,939.6174320099726
154,4,17,1524.7686724644775
61,1,7,603.643264884073
52,3,17,500.39671746149935
101,5,7,1021.7101380427513
130,4,2,1313.8907047031469
82,2,16,802.3252852846266
178,5,2,1800.1808958375993
88,3,15,867.8801182925631
69,3,1,701.9301374776184
92,3,5,927.3331517419387
165,1,8,1637.1202615148238
127,4,3,1284.1791240391528
80,5,18,790.0390465162011
74,4,15,730.8253617696239
175,4,5,1764.4780588052367
52,1,10,502.4403493132263
53,1,9,516.8915016378091
144,3,17,1422.8077414662969
157,4,8,1577.1933133259013
63,1,12,607.3131659074761
162,3,11,1614.007273758713
90,5,14,894.4796575426329
122,1,16,1189.0195609666853
69,1,10,677.5342260452518
145,5,6,1464.7667733193705
122,5,3,1240.898048625041
117,1,7,1157.9057497460067
111,5,10,1114.4744703772412
64,5,14,632.393518014682
146,3,6,1463.297314952583
54,1,7,529.4201076275691
189,5,4,1905.0290389482573
136,3,12,1350.0119627032834
171,1,11,1689.2756529609132
159,1,12,1570.5340499606384
125,1,15,1222.6365889564631
66,5,20,643.6244961507593
199,5,12,1988.1259529474157
160,4,17,1586.663599995752
75,3,4,756.4694888724023
171,4,18,1697.8155112133268
168,3,17,1657.783462907802
167,2,11,1655.0246470597883
133,4,10,1327.0894880835517
154,1,4,1536.4110881826543
171,2,20,1679.836922061862
120,2,16,1178.9996818361274
81,2,5,806.4596960131498
63,3,7,632.8972892091631
121,5,8,1220.8388000393634
129,5,18,1278.9115284304642
91,2,13,894.9178701877287
68,5,7,689.9601704365072
90,1,12,877.671311229645
61,5,12,610.4814583418905
161,3,15,1592.8141721697168
143,2,12,1417.594222614857
179,4,7,1795.1046781056712
168,1,14,1655.1727837514436
94,4,14,934.0580966544741
175,2,18,1722.1496402055554
74,2,9,731.257256578989
117,4,5,1180.5012410531326
53,2,19,500.47098377417245
85,2,17,827.6825798112179
93,2,3,935.4809693196515
82,5,9,825.0317996946088
61,5,12,611.5532111709709
154,3,16,1524.9280209395913
188,4,20,1860.3552230383168
175,1,16,1723.9429525337157
161,4,14,1602.1357545769833
52,4,15,512.3346087414843
77,3,15,751.977748195649
103,5,19,1015.3696974056603
101,1,15,984.7443420410639
198,1,14,1956.7442121850647
79,3,2,797.1712131234239
117,2,5,1166.1997313326906
85,4,11,845.5306245024186
89,4,19,872.2339929861726
187,1,5,1860.8392973166276
123,4,9,1230.7147589885783
91,1,10,896.3740488111806
181,5,15,1809.0770145944502
96,5,14,955.8224688812722
158,1,13,1553.5635348427888
53,3,15,513.4210455419857
81,4,9,812.5073999086235
59,1,14,567.3450569201193
188,3,10,1876.9940385802631
77,5,15,766.0981191353417
111,4,13,1104.4564826928868
135,4,6,1356.7848927089744
147,5,14,1467.4038606887846
94,2,12,926.2664107359384
84,1,13,817.3740716753422
138,3,10,1375.491639514461
83,3,18,808.8803704704767
183,2,9,1823.9976639816189
86,3,16,843.258059522942
50,3,1,514.5054348820574
84,4,13,833.835198059729
176,1,17,1730.9194039317601
130,4,19,1283.205918982452
186,5,20,1846.5522092863982
179,4,13,1781.478166113605
162,2,19,1588.908877177874
85,1,18,816.7403831569196
170,2,12,1683.7988921779342
141,1,16,1379.4462512897564
166,1,18,1626.5133848050746
86,1,13,838.6336440033763
75,3,9,748.8323065604483
117,4,8,1174.949410279253
153,3,12,1519.9117357845291
85,3,8,852.1707086680395
164,4,4,1653.038229037553
80,2,10,788.3635719064437
79,1,10,775.0058056125649
83,2,12,814.6656786840583
196,2,18,1933.7083621511965
67,5,19,657.883324057944
134,3,17,1321.4020409870097
52,1,1,523.2161147860935
119,4,8,1194.5195923970423
151,2,19,1480.1728514430201
190,5,12,1900.4190205406924
94,5,13,944.7171744401679
167,2,14,1646.983707709556
116,2,9,1152.547853787388
161,5,9,1616.3346928774886
141,3,19,1386.163871824391
135,5,18,1341.3671405264633
89,5,11,890.713598033271
200,5,13,1998.033712275431
195,3,3,1958.2040029669333
68,3,12,671.5377946966584
142,3,7,1419.6998993379643
93,4,15,920.6577944258607
133,4,15,1315.8966795992364
91,4,19,888.5585786407647
143,4,12,1427.142631083886
199,1,2,1993.120563202242
139,1,15,1365.3476964996344
123,1,6,1223.8629758700524
78,2,7,776.3393411071958
155,1,16,1523.1433090327691
178,2,13,1767.3895976057306
113,5,10,1132.8042111798254
66,1,4,654.2553871723302
156,3,10,1555.0298952623057
144,4,3,1456.6650473408315
74,2,2,746.2763180863108
166,5,7,1671.0115735298004
101,1,15,987.2661664288734
186,4,17,1849.6511833499092
141,3,19,1386.3879763567759
143,5,14,1427.5774065457692
173,3,15,1714.1554705516292
137,1,4,1368.300650851082
197,2,6,1970.0131117218955
122,5,14,1214.632857228635
137,1,11,1352.7763520332014
63,1,19,596.7356981220569
108,2,7,1076.1696635507149
131,2,11,1298.6288910668657
170,1,12,1681.8562054030035
166,2,2,1665.473039876232
114,5,10,1143.0480193592468
75,2,17,725.149492782575
82,5,16,816.1003922516095
64,1,18,609.9049918290399
78,4,20,757.796944162499
70,1,20,665.1666921384387
118,1,2,1179.6235866402249
72,1,20,686.2662833087505
172,5,5,1735.8513034354896
133,4,4,1343.952077533988
185,2,10,1842.368940182218
111,3,10,1108.3944277836501
191,5,14,1904.9942291081352
55,1,7,541.6111738023701
50,1,11,483.7803325488998
186,3,12,1850.7781188903407
189,2,6,1888.177775477396
54,4,6,547.3192353125175
142,1,9,1408.2635534439312
76,3,16,742.4201609197434
124,1,15,1214.3116033010156
102,3,1,1034.8642058732908
101,2,4,1013.167182504617
155,3,2,1558.0317713321629
68,1,15,657.1591640325289
167,5,7,1678.9877224191032
84,2,4,841.3848056171076
101,3,5,1013.7830933593139
108,5,6,1095.8502782404037
105,4,9,1052.5185540308687
68,4,19,661.9386438505699
137,3,10,1365.4065701590032
120,2,4,1204.1560923855568
103,1,3,1029.1259357294582
98,4,10,977.0455240522145
144,5,14,1436.675572161469
109,5,18,1079.6449258303762
130,5,18,1290.0951331975448
174,4,11,1737.5269616177463
108,3,9,1072.2960619337798
156,4,14,1554.1797574014433
94,2,11,925.1272980842524
63,2,7,626.5543142309335
171,3,11,1701.4763839988402
120,5,4,1216.8167000187764
88,4,16,868.0170456797769
186,3,19,1836.3802189862781
63,1,3,631.2799146005084
185,2,5,1853.5591517457879
72,1,11,703.2247945641548
129,1,8,1280.740263061288
58,4,19,563.3077010037085
56,3,13,546.3660712714295
110,1,12,1082.889979003874
194,1,13,1920.9825255903727
106,5,18,1050.4805338085105
164,5,6,1654.0681657724754
74,1,20,704.1859921155748
54,4,8,540.8369268553585
150,1,5,1494.8889331264872
99,2,11,978.6644698460454
137,3,19,1350.5600628456623
80,4,1,819.7372298100456
104,5,12,1040.3960173291493
70,3,10,696.4478449756111
147,2,19,1443.4816706417207
151,4,14,1500.8316087683122
79,4,19,772.0174062770685
165,4,13,1646.3299158613638
103,5,10,1035.3897297689828
169,3,9,1690.4057698490526
136,2,2,1366.1021438188884
57,1,18,544.1857137283789
155,1,18,1516.6343233538937
187,1,16,1842.8026765190402
178,3,17,1760.5277008012147
133,4,18,1313.390408640107
170,2,8,1695.2691894050167
198,5,17,1975.4494328584883
167,4,6,1675.0345448983878
53,5,10,533.4617986166423
176,4,15,1751.6212276877593
92,1,13,900.9072646305012
115,4,15,1141.505300137165
70,1,14,676.7851707375523
86,1,2,858.433677091325
118,2,5,1180.47579480017
162,2,6,1611.787254397958
188,5,13,1879.0297219974718
154,5,10,1541.0802797159627
141,3,13,1399.5927847410157
93,3,1,940.9367049479688
113,5,6,1141.6129274102343
198,2,10,1968.1695486792455
59,1,2,589.0735717506199
141,3,18,1390.2539980062663
161,2,20,1579.0260911795845
133,1,2,1330.5020764739481
126,3,11,1250.1480463975374
68,2,7,677.1007447813738
163,5,17,1621.4587111753992
124,2,8,1235.9155723636463
181,3,7,1810.4132058859577
190,1,12,1880.1654207203276
108,3,10,1072.2869758626725
179,4,19,1772.4641335262934
163,5,20,1613.8132507416208
178,4,11,1778.5272634125747
89,3,7,888.1696369041915
74,3,7,739.922619004689
86,2,3,863.3689793424313
149,2,18,1464.51367580725
119,4,11,1188.5675721365187
184,2,8,1833.2350948831047
53,2,9,524.3478641767671
171,4,9,1710.788524676282
78,2,5,778.7139546921738
118,4,3,1194.514349305466
76,1,17,731.9332105154255
159,4,12,1586.832473984144
185,2,4,1853.4109491448594
175,5,1,1773.404820890879
144,5,6,1454.8234013743852
122,4,8,1223.6097007185979
134,5,13,1341.9679902522837
185,5,12,1850.5605046020733
158,2,13,1567.8132377017375
117,1,19,1136.5282130838507
152,1,16,1489.036076377745
134,2,13,1321.752439054725
121,1,13,1191.3502995126553
133,4,16,1319.2680747660534
50,1,18,468.6077644922362
183,5,8,1838.304106459321
141,2,16,1384.7106387467386
157,3,2,1582.4146878683205
57,5,6,583.3883665163805
199,5,1,2014.925556069739
186,4,14,1849.9332711982595
96,3,9,957.6991301950287
50,4,19,481.4258199270923
154,2,17,1514.3226509062738
88,3,14,868.7050912720546
139,2,9,1380.2150147293487
124,1,7,1232.107097148111
173,5,6,1742.1247070396262
137,1,4,1368.474676357255
146,2,9,1449.6000328648547
133,4,13,1324.6169289722218
76,5,14,754.5487440248523
82,5,17,816.5708707285786
165,3,19,1627.2967335337057
147,1,11,1454.3137416154293
109,2,9,1081.6487127914163
107,2,17,1047.1779812160917
182,2,19,1791.4530659023058
143,2,11,1416.5553453937298
141,4,16,1400.6717385613613
195,2,7,1948.1314485145683
198,4,5,1989.763282072515
169,4,16,1677.2790927240123
155,3,1,1562.3337292679107
54,3,4,547.6586622871704
159,1,16,1563.0921359172398
137,2,16,1352.8462544814681
123,4,2,1245.994702720706
76,3,19,739.9564346494134
168,2,9,1673.9579658300208
72,3,10,716.5811686770303
148,3,9,1477.7322792848763
140,1,8,1390.2567509463875
101,4,16,997.8116186192689
96,4,10,958.5450968250507
111,3,20,1086.7929211121084
97,2,4,970.4871678006476
154,4,15,1526.8577901547214
178,1,3,1778.7524676857481
188,4,12,1874.4032477639819
191,1,4,1908.2596290324495
121,2,15,1190.2766958995546
144,3,1,1451.775911811758
56,2,3,566.1453321049795
65,2,11,642.0521980703572
103,1,6,1024.9004056466738
132,2,5,1322.6508437642447
185,3,19,1827.1359050581657
115,4,11,1150.7675539788677
116,1,4,1153.8174224146399
164,1,8,1629.5839138524625
142,2,4,1421.1566191843015
128,2,2,1286.7117040181329
150,2,6,1496.965601984203
143,5,4,1450.5121294590808
164,3,15,1624.1696845212261
62,2,3,624.4486578443581
130,5,18,1289.6855922364157
116,1,15,1130.866483981873
175,3,11,1744.424682133648
188,5,20,1866.9773376393327
162,1,5,1615.299435653836
170,4,5,1708.1971283801793
115,4,7,1156.901907836073
138,3,10,1375.870520384724
84,5,10,845.7664404884781
53,5,4,546.1634906511529
138,1,8,1370.4520919068664
120,4,13,1192.5468644132593
198,4,5,1990.5384306727663
184,2,14,1821.8604725838684
78,5,13,779.7308091455428
165,3,1,1663.5302932798224
184,4,11,1844.1791182469929
116,3,15,1143.6781140342246
142,3,1,1433.4260699565605
152,2,1,1527.2427310732567
151,4,1,1525.5409561119852
173,3,12,1717.776716020779
159,4,6,1596.235913624169
123,2,6,1229.1621571600556
150,1,19,1467.9049335031912
127,1,11,1255.5728540280975
199,1,17,1957.811818084581
131,3,18,1289.9444561378325
85,3,12,840.9591843412791
186,3,10,1854.4360714865993
75,4,10,747.4829983971517
71,5,13,708.7998993170102
194,4,1,1958.1039636917653
169,1,8,1679.2320871891866
177,5,14,1766.6334642944657
179,2,17,1767.8782131913904
183,5,12,1830.5438760984207
190,2,16,1881.8574814912606
140,3,13,1388.2606180583787
124,1,6,1233.0367029032197
128,3,3,1292.5181257961294
112,4,13,1114.5597800146313
122,3,12,1212.9194714532875
95,3,16,932.7156826832904
183,5,5,1842.5145970506699
97,2,18,943.8458966454605
188,1,13,1858.6958359130742
107,3,13,1056.6717553430733
139,3,17,1372.6611810429217
181,2,3,1812.9409654989065
175,4,6,1759.6295889619257
132,4,3,1336.541002826805
182,5,20,1805.6972433242095
67,2,16,650.5932069932993
144,3,7,1441.763232019135
181,4,5,1818.8813791616099
119,4,10,1187.2419588484788
108,1,16,1052.809669831868
196,1,1,1963.6762785170044
147,5,11,1471.8992583875017
185,4,17,1834.3283958615064
96,4,3,974.137485775614
177,2,18,1743.6276752890053
131,1,15,1284.8477764334252
62,1,6,610.6727625141287
168,4,6,1689.5900666072162
96,5,3,978.6988981284702
168,4,4,1693.0994636552875
82,3,12,811.9181434519703
84,1,20,805.2268020418004
165,1,14,1628.4732515264595
137,2,4,1374.4495100026302
174,5,6,1752.6186099544157
157,2,2,1572.5793444434996
102,1,9,1005.9440553305194
160,5,8,1604.4799286043324
114,4,8,1143.7466223681486
126,4,2,1276.07360763879
168,5,10,1690.4263032709066
123,3,16,1211.8438231471157
196,4,14,1952.0846356821626
54,2,1,546.5081801048856
57,4,5,577.6899648531019
181,4,1,1828.4287056431597
98,3,12,969.2685051080061
126,4,20,1239.495272632639
87,2,4,871.5295316205078
166,2,5,1654.3815132344785
98,2,16,956.8795703921134
159,1,18,1559.5564282155028
99,4,11,988.1622725972275
121,4,17,1195.979484804198
140,5,7,1409.838861627542
79,3,3,797.9613033590113
53,1,18,501.153674272997
124,4,19,1220.1436828932367
134,2,2,1345.5603395276362
115,1,1,1151.703799420348
169,1,2,1691.0810592577404
70,2,7,698.0945554838567
92,5,5,932.5251301109554
78,4,5,788.3160587827156
137,3,16,1354.8123411999004
98,5,20,968.1205188152553
152,3,7,1526.312860365311
59,3,11,581.5903530219042
52,4,17,508.9514918687145
166,1,3,1657.458931947281
158,2,15,1559.2988206544555
139,3,15,1371.2529863364366
174,5,15,1733.7662260928305
167,4,1,1687.076387493392
150,4,8,1503.1667396640407
140,5,2,1423.1653769939696
118,3,5,1183.73602814101
155,3,9,1548.8973865170265
60,3,16,582.6063993349808
62,5,1,642.6283622255429
154,3,4,1548.1708720083825
172,5,16,1708.751889428858
83,4,11,827.6942138681184
149,5,2,1510.5547348879256
100,2,4,1000.2141265997635
138,1,4,1376.2791356078708
70,1,3,699.4729635020881
122,2,5,1221.4373661538705
68,5,11,682.6207248182752
89,1,15,865.4185264891513
173,2,10,1717.8829795492716
78,3,6,780.5393597582923
196,2,20,1930.2597475782263
95,1,6,943.6842682755642
104,5,4,1056.5495584623427
50,5,20,481.17949495400006
188,5,17,1873.6451815398505
184,1,8,1830.18282846979
149,3,11,1483.9374843678959
197,5,13,1968.516866274159
100,4,5,1006.0823081709175
152,3,17,1503.3861762861097
70,2,13,686.1162155945066
168,4,16,1666.879126918005
178,3,11,1772.4505411324137
159,1,12,1567.775566317106
155,4,15,1537.7389786460192
190,3,11,1892.591058344697
65,3,20,623.4287947720363
168,3,12,1669.4667511286027
83,3,7,833.3260837187152
190,5,8,1907.0632077322775
183,4,1,1847.572834605371
88,3,20,855.5805097963964
51,2,3,516.6876587414802
60,3,1,607.8351057420743
56,5,1,579.9432145234249
175,4,8,1752.4589973509626
56,4,19,540.1777128668317
152,3,1,1533.5167896725995
125,3,3,1259.0437433292063
164,2,7,1635.469339794966
135,4,13,1339.9160679839295
176,4,1,1778.1884683759283
164,4,9,1644.0729305940665
101,1,4,1003.5584977641311
52,4,14,514.3103966524551
126,4,4,1276.0392032816012
59,2,7,580.6870871101471
165,2,7,1646.9925003457925
183,5,7,1841.6982929391284
166,2,3,1662.7868450644885
93,4,16,921.95997565154
129,4,15,1279.1226217635028
112,4,19,1103.0921303990012
126,2,17,1233.3426468059183
97,3,12,959.1335265238653
126,1,2,1264.1434499720172
199,5,11,1992.060622179335
170,3,6,1698.939792825416
68,1,16,656.100121416534
139,2,14,1372.6000740919787
63,5,5,643.0545979040284
142,5,1,1445.2859972005756
155,2,14,1530.1929834518044
56,3,13,546.88287571765
150,1,7,1491.3710333782362
98,4,18,961.6365215331797
90,4,18,883.0014390788308
183,1,4,1827.1637142953757
193,4,1,1948.8474185385296
87,3,20,849.8799244741926
109,2,18,1062.7182798631345
163,4,4,1645.4002460344645
145,2,14,1429.5996027612478
146,4,12,1457.8020635015343
82,4,18,804.0987860367469
112,5,5,1134.48736837022
188,4,16,1866.7559348916282
190,5,11,1899.5749796539455
143,1,7,1421.3125368022784
114,4,7,1145.509737452052
140,4,17,1386.60364933194
200,4,5,2012.1392971903779
197,5,4,1990.1044825054817
183,4,8,1832.0810622164636
86,3,1,874.3939932091861
133,1,1,1336.4071130173195
177,2,9,1763.553919970431
55,2,4,553.3715801585056
142,5,7,1430.0177874569083
133,1,6,1323.2602069473444
190,1,8,1894.9501224116964
185,2,20,1819.4439998927303
130,5,14,1297.642804178415
50,3,19,476.2880869537605
124,1,18,1208.4869085373273
181,2,4,1810.6644965682963
111,3,9,1106.0384000228298
117,3,16,1152.188088846199
194,3,12,1930.535875685143
162,4,4,1635.8630015223425
134,3,13,1328.6272646767345
166,3,12,1651.4708973598092
106,2,18,1034.7797179051206
112,5,19,1107.1757571343976
98,4,11,976.0435485914792
195,2,12,1936.2710398197787
167,2,16,1646.43332805703
59,3,7,590.5722544128635
129,4,4,1302.0245737293005
182,5,19,1808.4344450060341
194,5,4,1959.574375477152
121,2,2,1217.6429549543218
112,4,11,1117.8186529890227
73,2,2,732.3238832005221
141,2,11,1393.5207090977715
160,5,10,1605.9403101593116
57,5,14,565.0766521440348
72,2,20,688.967799334051
148,5,3,1497.2025782297696
130,5,19,1284.862201402613
97,3,8,971.195659083256
164,3,9,1637.617760046158
61,1,6,603.1332443060522
128,1,15,1254.7716017481318
80,2,20,769.0136221427503
140,2,7,1396.3915431656026
84,2,1,849.7415903231513
104,2,9,1031.038421295039
131,5,16,1305.0702700516074
121,1,6,1201.7064051125678
159,2,4,1590.5129264418931
109,3,15,1077.4892354622004
162,5,9,1629.042588444404
118,1,10,1165.20632978709
63,5,5,645.9941494216035
151,4,8,1511.9337438944547
69,2,2,695.671758610949
157,3,20,1544.1528339217853
58,1,14,558.8229811111208
146,5,6,1474.1709924857635
174,1,9,1730.6302334011737
150,4,10,1500.959807626147
179,3,8,1785.905723265084
183,5,4,1846.2054967393478
200,4,16,1988.9597900300134
80,3,6,801.6890001235645
69,2,10,679.489369629519
54,1,12,520.4852249328933
198,4,4,1992.3576625308765
156,1,19,1527.0463176274588
124,1,4,1238.757847680099
173,4,15,1719.4058760182374
110,4,10,1099.686687127458
143,5,18,1418.189100756144
90,3,16,885.3924703018824
90,2,16,878.6884180566649
109,3,10,1086.2011854543146
79,2,20,760.1707497184392
144,2,8,1433.7390701478619
176,5,8,1766.7737631818434
66,3,6,664.3583778994484
149,4,12,1484.2389404885375
115,1,13,1128.1936570489402
73,5,15,725.3030424304297
178,5,15,1775.5915146693494
137,5,3,1390.4063301509698
87,4,2,881.7626718958024
161,1,11,1596.5542965770435
139,2,6,1386.2386115511006
184,4,15,1828.06781129008
151,3,1,1520.9612038198436
91,3,20,882.4324129951495
195,4,8,1954.7257473888567
162,5,16,1609.4678580892687
93,4,16,915.7742632813702
160,1,2,1603.2420216591006
168,2,1,1685.9705178763063
197,2,9,1964.442642151027
72,2,18,695.3898721642906
159,2,14,1569.3942394511546
189,5,15,1887.2698490017128
61,3,1,622.2721993907206
185,3,6,1853.5762117344543
169,4,6,1698.7631106695903
76,2,14,742.012578462667
98,3,4,985.731832610744
146,1,14,1437.7672998419314
150,4,4,1514.5664551127206
132,5,9,1329.369109787958
137,3,4,1375.9120942718407
199,2,10,1981.7436047293224
52,5,12,521.2831429069178
58,1,4,576.711577356956
60,1,12,579.1918928493519
55,1,12,526.9760831147022
88,5,20,864.8984753197578
150,3,11,1494.1246714377605
167,3,11,1663.47464720683
109,2,5,1088.7667621224737
183,5,13,1828.457925565226
55,3,3,562.59132558088
88,4,6,886.3852372401416
138,2,16,1361.1547126661624
134,3,13,1329.4105306543886
164,4,18,1624.6078340707859
59,2,16,567.5493137476434
182,1,10,1801.4284351421936
74,1,9,727.5436397541066
144,4,4,1455.5346742245883
180,1,15,1777.4503414376666
133,4,17,1316.1426388389452
181,2,7,1807.0000237085294
127,3,20,1245.3466896313394
61,2,2,615.0080393782226
191,4,16,1897.4339343279923
131,5,12,1310.007335146169
148,5,8,1487.9950309608626
71,4,9,713.2739642453647
198,1,4,1982.7922611010142
172,4,12,1713.3918904690222
195,3,8,1949.8202679530364
151,2,10,1499.8982170757843
150,4,14,1491.6657593665686
161,3,7,1612.7005501638664
61,5,8,621.0931850589072
147,4,9,1471.7030312419126
197,1,6,1963.8345512313153
162,4,7,1628.7165404958773
61,5,4,626.4058165047958
75,3,8,750.8221252121801
147,4,19,1451.0746361761517
145,4,12,1443.884705151508
95,1,19,919.7752029369805
56,4,20,539.948907232624
139,2,18,1363.496824903943
138,4,12,1373.0226913808783
88,3,2,890.1562381741026
101,2,17,987.927648410496
66,1,15,632.6991533397401
53,3,11,524.5987411668501
140,1,11,1381.2733962221123
172,4,17,1704.350822977144
52,4,16,507.87997223832735
183,4,2,1848.6679043604545
171,5,11,1712.1446071902265
65,5,1,673.0158454902054
128,5,20,1262.8125494630985
153,2,16,1505.525029403273
168,5,17,1671.3586254461734
57,4,9,573.1096037686943
152,4,10,1520.1428722247608
163,1,12,1610.0273225963138
189,3,1,1905.006064293231
172,3,18,1700.6992195366652
105,2,8,1046.2201287867258
138,3,3,1388.7781972158168
118,2,7,1179.3342473381583
167,1,4,1666.5764157287833
165,4,14,1643.3928627238554
143,4,12,1426.1380336912462
152,2,12,1507.1715311830953
189,5,6,1902.6452218248708
132,1,17,1289.9399540030342
53,4,17,517.5421502852295
185,4,14,1841.7984849756695
79,1,9,779.0501214107524
128,2,7,1273.7465167118717
61,5,13,610.0605653784504
61,2,11,595.364637904003
66,1,5,655.6087042659668
110,3,9,1096.0748515220112
173,2,10,1720.9300129671471
153,3,16,1515.4873019620904
179,1,1,1796.819385831605
196,3,8,1956.078825005808
78,4,6,787.8883913787596
135,3,7,1351.3962245179555
123,5,20,1215.0324405192168
186,5,16,1853.9815878639017
189,1,13,1869.3528065945723
167,5,1,1691.69593354426
131,3,19,1281.8830941640408
65,4,18,636.6737740431214
181,1,8,1797.882282167128
156,2,2,1566.3527216771377
78,4,13,776.6628829291747
108,2,17,1059.27569982453
128,1,19,1248.4410236008582
161,2,8,1604.903644193803
115,4,9,1150.425371174878
126,5,9,1265.671237871525
61,1,17,579.5027647293015
75,5,15,746.1759269137672
153,5,15,1529.2271972412475
61,5,8,619.7160085526231
140,4,5,1409.2135754821245
179,3,17,1768.7292835524077
194,5,7,1949.5717041309001
51,3,11,504.99456687782254
66,1,7,648.7551476248458
83,2,5,828.8179205014816
83,5,17,819.4214326440668
90,3,3,910.5666203263097
122,1,16,1192.8595671188857
156,4,16,1544.4714546765701
133,1,15,1303.8248613543306
118,4,16,1166.660421838017
200,2,8,1995.8327118802538
114,2,16,1115.8701734756505
81,3,15,792.9075538551414
129,4,11,1284.211481706054
133,4,5,1341.8336045753872
65,2,10,641.2357348464024
101,1,9,995.4951812790642
190,1,12,1879.909386161088
60,3,4,603.8150243109791
155,2,13,1533.229389954794
130,2,3,1303.0371447979398
120,5,3,1219.8836317343496
71,3,14,694.9391857046257
130,2,19,1270.8364310727286
114,5,16,1133.1624900162037
179,4,2,1805.0964748431632
100,5,5,1016.2226462348297
146,2,5,1461.0775946796846
157,1,18,1541.1456497923348
132,3,12,1312.5387597140527
200,4,13,1992.0251541912753
65,1,3,648.7110411281917
193,3,19,1907.8926637526909
78,4,10,776.6499125986212
121,4,5,1220.4097190620682
77,2,12,756.9787069123471
107,5,10,1074.698369437667
108,1,7,1068.3184478008945
63,5,18,618.6070599897151
196,2,19,1934.0564052336922
128,2,16,1259.7854775858207
70,1,13,680.4067839354024
121,4,7,1214.5821997425362
94,3,19,913.2280878992416
141,4,17,1396.2564291126425
94,5,12,940.9119150912558
65,1,1,648.406613092071
137,2,7,1363.970928621671
127,4,7,1276.300838290917
145,1,3,1449.6710548570527
160,3,20,1576.087801499267
182,2,13,1804.3962871641766
78,4,19,761.0120545604268
99,2,1,998.430094134761
137,5,10,1375.5423202507357
107,3,18,1050.199401902469
91,3,11,903.5916369235974
67,3,5,675.4096923291016
70,5,5,714.5180262231964
114,4,19,1120.7661532939353
184,4,6,1850.2857553827403
200,4,15,1990.349899648814
129,4,11,1292.1412190846092
124,4,19,1225.1268717597163
199,1,20,1958.6883197565055
